song,youtube_title,url
BLACK JACK (Short),How to Play Blackjack,https://youtube.com/watch?v=eyoh-Ku9TCI
BLACKOUT,"Emilia, TINI, Nicki Nicole - Blackout",https://youtube.com/watch?v=BXp4Hpxc464
BPM = SUB / 1450,Dafikun - BPM = SUB / 1450 | 48% - 100%,https://youtube.com/watch?v=D_SFb8kbe8Q
BPM=LIKE,INSANE DJ Trick To Mix to Any Genre and BPM!,https://youtube.com/watch?v=UUyqNDDdNn0
BR34K1N6 UR F1N63RZ 4NY % REC,Xeudo Code - BR34K1N6 UR F1N63RZ 4NY % Rec [For CDF2023],https://youtube.com/watch?v=KEElwSwx_2U
BREAKME,"Topic, A7S - Breaking Me (Official Audio)",https://youtube.com/watch?v=mHUI4x9Vu3o
BWen,Anh Ben Travel Số 712,https://youtube.com/watch?v=WeRyZsLIdno
Backbeat Maniac,"【4K】 ""Backbeat Maniac"" by SpooFy (Demon) | Geometry Dash 2.11",https://youtube.com/watch?v=wJQ3CsTnxLI
Bad Dream Baby,September 87 - Bad Dream Baby (Official Video),https://youtube.com/watch?v=nF8paxAqIRE
Barity_,Variety of Sound Feenstaub TC Review,https://youtube.com/watch?v=Ql3Sw1I9748
Barrage,Ice barrage sound,https://youtube.com/watch?v=A8ZZmU8orvg
Baryogenesis,Hidden Portals - Baryogenesis,https://youtube.com/watch?v=XmKwl39WIfA
Bass Slut,Bass Slut (Raw File),https://youtube.com/watch?v=BJYF8AcltkM
Be Rising,tripleS - Rising [Audio],https://youtube.com/watch?v=zyiF-4IK240
Be With U,Be With You,https://youtube.com/watch?v=dN6JeV3jC8Y
Beautiful Hallucination,dvsn - Hallucinations (Official Audio),https://youtube.com/watch?v=DBYbhZreprc
Beethoven Virus,Diana Boncheva feat. BanYa - Beethoven Virus Full Version,https://youtube.com/watch?v=DtKCNJmARF0
Before it Ends,Before Spring Ends WangOK,https://youtube.com/watch?v=tX4rUDi_ER4
Begin,Madcon - Beggin' (Original Version) [Audio HQ],https://youtube.com/watch?v=CfHc1CPnyhA
Believe [Dream Shift],Dream - Believe (Interlude) (Official Audio),https://youtube.com/watch?v=Djqli93V-7Q
Bewitched,Bewitched,https://youtube.com/watch?v=H7CJio88lNA
Beyond The Æxis,SDMNE - Beyond The Æxis,https://youtube.com/watch?v=esDCq6sitC8
Beyond the Future,[Umamusume] Precious Smiles - Beyond The Future! - (Lyrics/Color Coded) [Egao no Takaramono],https://youtube.com/watch?v=QLZ--y-k3NU
Beyond the Geostationary Orbit Level (2part),Camellia - Beyond the Geostationary Orbit Level,https://youtube.com/watch?v=CDnZFo0n-q4
Beyond the Horizon,Far Out - Beyond The Horizon EP [Full EP] | Ophelia Records,https://youtube.com/watch?v=J85yKzk_3G8
Beyond the Reaches,"Anciients - ""Beyond the Reach of the Sun"" (Official Album Stream)",https://youtube.com/watch?v=fD-6tz9c2fg
BilliumMoto,Evening ( Nier Automata: Dependent Weakling Remix ),https://youtube.com/watch?v=NGfddj3El24
BilliumMoto & 黒皇帝(Kurokotei),"TWC Sound Team ""Zeroth Powers"" - One One",https://youtube.com/watch?v=xEnDPj7vxhA
Bingsu,It's Bingsu Summer Time!,https://youtube.com/watch?v=Xr8qN5-9hdQ
Bipolar,.diedlonely - bipolar [1 Hour Loop],https://youtube.com/watch?v=tLLKWPqtlFU
Bismuth,My first VST Plugin - Bismuth Demo,https://youtube.com/watch?v=zBFCFonCYJ4
Bison Charge,Bison noises,https://youtube.com/watch?v=T9yw3kvvfKA
Black Cat,Edgar Allan Poe - The Black Cat with subtitles (Read by Christopher Lee),https://youtube.com/watch?v=s-Qbedgqyws
Black Hole Suspension,We Came As Romans - Black Hole (Feat. Caleb Shomo) (Official Music Video),https://youtube.com/watch?v=jMN3VRbftmA
Black Lotus,Black Lotus Audio,https://youtube.com/watch?v=UCKufqL962WjG9df_MWEyjCg
Blackmagik Blazing,camellia - blackmagik blazing (short opl3 mix),https://youtube.com/watch?v=YSs7VYxA_vc
Blackmagik Blazing (Cut Ver.) (AWC2025 Nerfed),,
Blackmagik Blazing (Nerfed),[ADOFAI chart #56] Camellia - Blackmagik Blazing [short],https://youtube.com/watch?v=zWxORysez3g
Blackmagik Blazing (Remake),camellia - blackmagik blazing (short opl3 mix),https://youtube.com/watch?v=YSs7VYxA_vc
Blackmagik Blazing (ShinJW 2024 Remix),[#Hardcore / #Speedcore / #Drumstep] Bleez Bling Black Blinc (Camellia - Blackmagik Blazing REMAKE),https://youtube.com/watch?v=ORj-EkNOk5s
Blade Of Lucifer,Linda Asks Lucifer About Hitler | Season 2 Ep. 8 | LUCIFER,https://youtube.com/watch?v=tQ-Dp612Fog
Blasting Highway,Over The Garden Wall Official Soundtrack | The Highwayman – The Blasting Company | WaterTower,https://youtube.com/watch?v=UpeBr94p_wk
Bloody Kiss,[FREEDL&MIRROR]Bloody Kiss - THX30KFOLLOWERS!,https://youtube.com/watch?v=6ZD-RPvrWc4
Blooming Planet (None Effect),Hans Zimmer And Radiohead Collaboration: Creating (ocean) bloom – Blue Planet II Prequel,https://youtube.com/watch?v=M3ia8mn8ITs
BluPen,#2 All The Times Perfect! [Rhythm Doctor Demo Playthrough],https://youtube.com/watch?v=S8z7XxBM1j8
Blue Reflection,TIGAR -Otto- - BLUE REFLECTION OST Extended | Hayato Asano,https://youtube.com/watch?v=xdFTu9zXqd0
Blue Spectrum (Original Mix),Blue Spectrum - Lightspeed (Original Mix) [Unearthed Subliminal],https://youtube.com/watch?v=k4gozpCj5Bg
Blue Square,1010Music BLUEBOX Review // Is it the new king of synth mixers?,https://youtube.com/watch?v=tRtZufcM3Qk
BlueWind,【耳コピ】BlueWind - B4CK 2 THE 50URCE をピアノ耳コピしてみたかった,https://youtube.com/watch?v=2sYceq9IMEk
Bluecen & Fenki,Besharam Rang (Full Audio Song) Shahrukh Khan | Deepika Padukone (Pathaan) Romantic Superhit,https://youtube.com/watch?v=poMt_tQAjEg
Bodder,Kehlani - Border [Official Audio],https://youtube.com/watch?v=rBUj6x3Y5kw
